代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
91664857723568128, 003133, 0P00018KU2, 易方达裕鑫债券A, 积极债券型, 5, 0, 3.76
91664858528874496, 000047, 0P0000Y602, 华夏双债债券A, 积极债券型, 5, 5, 7.92
91664859338375168, 630109, 0P0000SDKV, 华商稳定增利债券C, 积极债券型, 5, 5, 10.96
91664860063989760, 004687, 0P0001C2CM, 汇添富熙和精选混合A, 保守混合型, 5, 0, 5.65
91664860756049920, 004084, 0P00019RO1, 国联安鑫隆混合C, 保守混合型, 5, 0, 0.89
91664861494247424, 320021, 0P0000X7PS, 诺安双利债券发起, 积极债券型, 5, 5, 5.13
91664862249222144, 420102, F00000049I, 天弘永利债券 - B, 普通债券型, 5, 5, 11.26
91664863159386112, 110027, 0P0000T3GV, 易方达安心回报债券 - A, 积极债券型, 5, 5, 6.00
91664864002441216, 004270, 0P0001BHLO, 汇添富民丰回报混合A, 保守混合型, 5, 0, 5.30
91664864707084288, 110028, 0P0000T3GW, 易方达安心回报债券 - B, 积极债券型, 5, 5, 5.70
91664865575305216, 002742, 0P00018VUW, 泓德裕祥债券A, 积极债券型, 5, 0, 6.74
91664866401583104, 000118, 0P0000YMY3, 广发聚鑫债券A, 积极债券型, 5, 5, 4.23
91664867127197696, 630009, 0P0000SDKU, 华商稳定增利债券A, 积极债券型, 5, 5, 11.33
91664867865395200, 000119, 0P0000YMY4, 广发聚鑫债券C, 积极债券型, 5, 5, 3.90
91664868632952832, 003134, 0P00018KU3, 易方达裕鑫债券C, 积极债券型, 5, 0, 3.60
91664869299847168, 000048, 0P0000Y603, 华夏双债债券C, 积极债券型, 5, 5, 7.65
91664870050627584, 004083, 0P00019RO0, 国联安鑫隆混合A, 保守混合型, 5, 0, 1.18
91664870776242176, 004427, 0P0001A99B, 交银施罗德增利增强债券A, 积极债券型, 5, 0, 7.00
91664871493468160, 519967, 0P00015R91, 长信利富债券A, 积极债券型, 5, 3, 4.77
91664872265220096, 002794, 0P00017ZOB, 天弘永利债券 - E, 普通债券型, 5, 3, 11.27
91664872986640384, 420002, F00000049H, 天弘永利债券 - A, 普通债券型, 5, 5, 10.93
91664873724837888, 004271, 0P0001BHLP, 汇添富民丰回报混合C, 保守混合型, 5, 0, 4.99
91664874425286656, 151002, F020151002, 银河收益债券, 积极债券型, 5, 5, 7.26
91664892641148928, 002743, 0P00018VUX, 泓德裕祥债券C, 积极债券型, 5, 0, 6.47
91664893354180608, 160322, 0P00018SNI, 华夏港股通精选股票(LOF) A, 香港股票型基金, 5, 0, -12.59
91664894163681280, 160513, 0P000136M4, 博时稳健回报债券(LOF) - A, 普通债券型, 5, 4, 7.53
91664894906073088, 001001, F020001001, 华夏债券 - A/B, 普通债券型, 5, 5, 4.86
91664895669436416, 501050, 0P00018MVF, 华夏沪港通上证50AH优选指数（LOF）A, 香港股票型基金, 5, 0, -7.45
91664896403439616, 512700, 0P0001AHZP, 南方中证银行ETF, 行业股票 - 金融地产, 5, 0, 0.64
91664897166802944, 206003, 0P0000NR3I, 鹏华信用增利债券 - A, 普通债券型, 5, 5, 3.92
91664897934360576, 161029, 0P00015RPM, 富国中证银行指数A, 行业股票 - 金融地产, 5, 4, 1.87
91664898655780864, 004598, 0P0001AHZO, 南方中证银行ETF联接C, 行业股票 - 金融地产, 5, 0, 1.44
91664899373006848, 003426, 0P00018X1B, 江信添福债券C, 普通债券型, 5, 0, 3.89
91664900077649920, 001945, 0P00016X97, 东方红信用债债券A, 普通债券型, 5, 5, 6.53
91664900866179072, 002586, 0P00019HX9, 金鹰添利中长期信用债债券A, 普通债券型, 5, 0, 4.80
91664901600182272, 000997, 0P000157OH, 南方双元债券 - A, 普通债券型, 5, 3, 5.82
91664902359351296, 000143, 0P0000YRCF, 鹏华双债加利债券A, 积极债券型, 5, 4, 5.77
91664903114326016, 160517, 0P000162B1, 博时中证银行指数（LOF）, 行业股票 - 金融地产, 5, 5, 1.84
91664903881883648, 160514, 0P000136M5, 博时稳健回报债券(LOF) - C, 普通债券型, 5, 3, 7.23
91664904636858368, 160125, 0P00015R9J, 南方香港优选股票QDII-LOF, 大中华区股票, 5, 4, -3.75
91664905387638784, 001003, F0000003ZF, 华夏债券 - C, 普通债券型, 5, 5, 4.70
91664906100670464, 161121, 0P000160TO, 易方达中证银行指数（LOF）A, 行业股票 - 金融地产, 5, 5, 1.20
91664906830479360, 004597, 0P0001AHZN, 南方中证银行ETF联接A, 行业股票 - 金融地产, 5, 0, 1.74
91664907505762304, 206004, 0P0000NR3J, 鹏华信用增利债券 - B, 普通债券型, 5, 5, 3.62
91664908197822464, 180025, 0P0000Q6RX, 银华信用双利债券 - A, 普通债券型, 5, 4, 1.40
91664909032488960, 675111, 0P00019NHG, 西部利得汇享债券A, 普通债券型, 5, 0, 5.23
91664909791657984, 675113, 0P00019NHH, 西部利得汇享债券C, 普通债券型, 5, 0, 5.15
91664910521466880, 180026, 0P0000Q6RY, 银华信用双利债券 - C, 普通债券型, 5, 4, 1.16
91664928825409536, 002587, 0P00019HXA, 金鹰添利中长期信用债债券C, 普通债券型, 5, 0, 4.74
91664929517469696, 005159, 0P0001BSWH, 华泰保兴尊合债券A, 普通债券型, 5, 0, 5.93
91664930268250112, 000998, 0P000157OI, 南方双元债券 - C, 普通债券型, 5, 3, 5.51
91664931023224832, 233005, F0000004HY, 大摩强收益债券, 普通债券型, 5, 5, 3.30
91664931761422336, 206018, 0P0000XUIE, 鹏华产业债债券, 普通债券型, 5, 5, 4.38
91664932466065408, 003327, 0P00018MQ6, 万家鑫璟纯债债券A, 纯债基金, 5, 0, 3.67
91664933225234432, 000355, 0P0000ZR3C, 南方丰元信用增强债券 - A, 信用债, 5, 3, 4.65
91664933980209152, 004999, 0P0001BP83, 长信全球债券美元份额, 环球债券, 5, 0, -3.32
91664934743572480, 003358, 0P00018OL4, 易方达中债7-10年期国开行债券指数A, 利率债, 5, 0, 4.55
91664935498547200, 002073, 0P0001755S, 圆信永丰兴融债券A, 信用债, 5, 5, 4.87
91664936282882048, 003156, 0P00018JRS, 招商招悦纯债债券A, 信用债, 5, 0, 4.96
91664937037856768, 003377, 0P00018OL6, 广发中债7-10年国开债指数C, 利率债, 5, 0, 4.15
91664937792831488, 002074, 0P0001755T, 圆信永丰兴融债券C, 信用债, 5, 5, 4.67
